# 200 TEMPLATES ACROSS 9 CATEGORIES. ONE PER LINE.|SOUNDS LIKE QUITE AN EXTENSIVE COLLECTION THERE. HOPE IT'S REALLY USEFUL!
COULD YOU GIVE ME RECOMMENDATIONS FOR BEGINNER-FRIENDLY BOARD GAMES?|CATAN AND TICKET TO RIDE ARE GREAT STARTS!
A WORLD WHERE CARDIOVASCULAR FITNESS DETERMINES YOUR ENERGY SUPPLY.|WILD CONCEPT. FITNESS AS FUEL.
PORTRAY A REALITY WHERE RUNNING IS THE FUNDAMENTAL WAY TO STAY ENERGIZED.|IMAGINE LIFE FUELED BY MILES.
WHAT DOES A CIVILIZATION LOOK LIKE IF RUNNING IS YOUR MAIN POWER SOURCE?|PROBABLY LOTS OF RUNNERS AND VERY EFFICIENT CITIES.
A SHORT STORY ABOUT AN APP'S TRIP TO AUSTRIA|SOUNDS FUN! WHAT'S IT ABOUT?
CAN YOU WRITE A QUICK FICTIONAL PIECE INVOLVING AN APP GOING TO AUSTRIA?|SURE, HERE'S A LITTLE SNIPPET.
A SHORT TALE OF A GUITAR'S TRIP TO NEW ZEALAND|A DUSTY OLD ACOUSTIC, OFF TO AOTEAROA!
I NEED SOME LOW-EFFORT MEAL IDEAS FOR THE WEEKEND.|TACOS OR PASTA ARE EASY WINS.
ANY SIMPLE, CHILL RECIPES FOR A LAZY SATURDAY?|EASY PASTA OR GRILLED CHEESE ARE ALWAYS SOLID.
LOOKING FOR SOMETHING SUPER QUICK AND EASY TO COOK THIS WEEKEND.|TACOS ARE ALWAYS A FAST WIN.
CAN YOU WRITE A STORY WHERE A CAKE JOURNEYS TO PERU?|SURE, SOUNDS FUN!
TELL ME A TALE ABOUT A TRAVEL-LOVING CAKE GOING TO PERU.|THAT CAKE HAD QUITE AN ADVENTURE!
WHAT'S A GOOD ROMANTIC MEAL TO COOK FOR A DATE?|PASTA WITH SHRIMP IS ALWAYS A HIT.
HELP ME PLAN A DELICIOUS AND MEMORABLE DATE NIGHT MENU.|HOW ABOUT PASTA WITH GRILLED SHRIMP?
I NEED A BRIEF STORY ABOUT A DESSERT TRAVELING TO PERU.|A MANGO TART JOURNEYED ACROSS OCEANS TO THE ANDES.
TELL ME ABOUT THE HISTORICAL IMPORTANCE OF BICYCLES.|THEY CHANGED HOW PEOPLE TRAVELED AND WORKED.
SHOW ME A FANCY MEAL IDEA FOR A ROMANTIC EVENING.|SEARED SCALLOPS WITH RISOTTO SOUNDS LOVELY.
ANY SUGGESTIONS FOR ACTIVITIES WHEN IT'S GLOOMY IN GREECE?|MUSEUM HOPPING OR COFFEE DATES!
RECOMMENDATIONS FOR INDOOR THINGS TO DO IF IT'S RAINING IN GREECE?|GREEK MUSEUMS ARE GREAT! OR CHECK OUT A LOCAL CAFE.
THREE RAINY DAY PLANS FOR GREECE, PLEASE.|MUSEUM HOPPING, COOKING CLASS, WINERY VISIT.
NEED SOME INDOOR ACTIVITIES FOR A GLOOMY SWEDISH AFTERNOON.|BOARD GAMES ARE ALWAYS FUN INDOORS.
GIVE ME SOME FANCY, BIRTHDAY-WORTHY FOOD IDEAS AND RECIPES.|SEARED SCALLOPS AND CHOCOLATE LAVA CAKE SOUND AMAZING!
SUGGESTIONS FOR THINGS TO DO WHEN IT'S RAINING IN SWEDEN.|MUSEUM HOPPING OR COZY CAFES SOUND GREAT!
WHAT IS THE HISTORICAL IMPORTANCE OF BEING THANKFUL?|IT FOSTERED COMMUNITY AND RESILIENCE.
WHAT TO DO ON A RAINY DAY IN SWEDEN?|CHECK OUT MUSEUMS OR TRY COZY CAFES!
SUGGEST A BIRTHDAY MEAL RECIPE FOR ME.|HOW ABOUT A FANCY PASTA DISH? IT ALWAYS FEELS SPECIAL FOR A CELEBRATION.
HOW HAS GRATITUDE INFLUENCED SOCIETIES THROUGHOUT HISTORY?|IT'S FOSTERED COOPERATION AND RESILIENCE ACROSS CULTURES.
CAN YOU GIVE ME THREE RAINY DAY ACTIVITIES FOR SWEDEN?|VISIT A SAUNA, EXPLORE MUSEUMS, OR TRY INDOOR HIKING.
TELL ME ABOUT THE HISTORICAL IMPACT OF MUSIC.|MUSIC SHAPES CULTURES AND DRIVES SOCIAL CHANGE.
WHAT DOES THUNDER REPRESENT HISTORICALLY?|IT OFTEN SYMBOLIZED DIVINE POWER.
I NEED FIVE INTERESTING TIDBITS REGARDING BEDROOMS|DID YOU KNOW DARK COLORS CAN MAKE A ROOM FEEL COZY?
WHAT ARE FIVE COOL THINGS TO KNOW ABOUT BEDROOMS?|COZY VIBES, GOOD SLEEP, PERSONAL SPACE, DECOR IDEAS, AND SOUNDPROOFING HELP.
TELL ME ABOUT THE SIGNIFICANCE OF FASHION THROUGHOUT TIME.|IT REFLECTS CULTURE AND STATUS THEN AND NOW.
CAN YOU SUGGEST A MEAL THAT WILL REALLY LIFT MY SPIRITS?|SUNSHINE SALAD WITH GRILLED SALMON SOUNDS AMAZING!
DO YOU HAVE ANY EASY RECIPES FOR CHEERING MYSELF UP?|SURE! TRY SOME CHOCOLATE CHIP COOKIES. THEY ALWAYS HELP.
WHAT ARE SOME GO-TO RECIPES FOR A MOOD BOOSTER?|BRIGHT CITRUS SALADS OR SPICY CURRIES WORK WELL.
HOW TO SPEND A RAINY AFTERNOON IN IRELAND?|PUB HOPPING IS A CLASSIC CHOICE!
LOOKING FOR RAINY DAY ACTIVITIES TO DO IN IRELAND.|PUB HOPPING, MUSEUMS, OR COZY CAFES!
TELL ME SOME COOL THINGS ABOUT CATS|THEY ARE BASICALLY TINY FURRY NINJAS.
ANY IDEAS FOR ACTIVITIES WHILE IT'S RAINING IN INDIA?|TRY MUSEUMS OR INDOOR CAFES!
LOOKING FOR SUGGESTIONS ON HOW TO SPEND A RAINY DAY IN INDIA.|VISIT A MUSEUM OR COZY CAFE.
WHAT'S A GOOD, LOW-EFFORT MEAL FOR A STUDY BREAK?|YOGURT WITH SOME FRUIT!
WHAT ARE SOME GOOD THINGS TO DO IN NZ WHEN IT'S RAINING?|MUSEUM HOPPING AND COZY CAFES!
CAN YOU RECOMMEND THREE RAINY DAY ACTIVITIES IN INDIA?|TRY MUSEUMS, CHAI WALKS, OR COZY BOOK READING.
CAN YOU RECOMMEND SOME RAINY DAY ACTIVITIES IN NEW ZEALAND?|MUSEUM VISITS OR COZY CAFE HOPPING!
WHAT ARE SOME COOL THINGS TO KNOW ABOUT JOURNALS?|THEY HELP YOU ORGANIZE THOUGHTS.
I NEED THREE IDEAS FOR A WET DAY OUT IN NEW ZEALAND.|HIKING, KAYAKING, OR JUST EXPLORING A COASTAL TOWN SOUNDS FUN!
COULD YOU SUGGEST A HISTORY OF RAINBOWS?|MYTHOLOGY IS FULL OF THEM!
CAN YOU TELL ME FIVE FASCINATING DETAILS REGARDING JOURNALS?|SURE! THEY CAN BE FOR DIARIES, ACADEMIC STUDY, ETC.
ADVICE FOR FINDING DEEP FULFILLMENT IN DAILY LIFE?|FOCUS ON WHAT YOU LOVE DOING.
HOW CAN I IMPROVE MY OVERALL LIFE SATISFACTION?|TRY SETTING SMALL, ACHIEVABLE GOALS DAILY.
I'M LOOKING FOR A HISTORICAL BOOK ABOUT RAINBOWS.|THERE ARE SOME INTERESTING ONES! LET ME CHECK WHAT I CAN FIND.
RECOMMEND A NON-FICTION BOOK ABOUT THE HISTORY OF RAINBOWS.|THAT SOUNDS NICHE! I DON'T KNOW ANY ON THAT TOPIC.
LOOKING FOR ACTIONABLE STEPS TO MAKE MY LIFE FEEL MORE MEANINGFUL.|START SMALL; SET TINY GOALS DAILY.
I WANT ADVICE ON HOW TO BOOST MY OVERALL LIFE SATISFACTION.|FOCUS ON SMALL JOYS AND SETTING GOALS.
HOW DO I ELEVATE MY DAILY LIFE AND FEEL MORE CONTENT?|TRY SMALL POSITIVE CHANGES. FOCUS ON GRATITUDE AND MINDFULNESS.
I'M LOOKING FOR A SCI-FI BOOK THAT DEALS WITH HISTORY.|TRY *DUNE* OR *FOUNDATION*.
SUGGESTIONS FOR MAKING MY LIFE FEEL MORE PURPOSEFUL AND REWARDING?|TRY SETTING SMALL GOALS AND FOCUSING ON HELPING OTHERS.
ANY SCI-FI RECOMMENDATIONS BASED ON HISTORICAL CONTEXT?|TRY DUNE OR FOUNDATION. THEY BLEND BOTH.
WHAT SCI-FI BOOKS EXPLORE HISTORICAL THEMES?|MANY DO! LOOK AT CLASSICS LIKE DUNE OR FOUNDATION FOR SOME DEEP DIVES.
WHAT CHANGES CAN I IMPLEMENT TO FEEL MORE SATISFIED WITH MY LIFE RIGHT NOW?|TRY SETTING SMALL DAILY GOALS FOR YOURSELF.
WHAT ARE ACTIONABLE STEPS FOR FINDING MORE JOY IN MY DAILY LIFE?|TRY SMALL MINDFUL MOMENTS. MOVE YOUR BODY MORE!
RECOMMEND A NOIR READ FOCUSING ON HOW SOCIETAL TRADITIONS AFFECT THE CHARACTERS.|THE POSTMAN ALWAYS DELIVERS IS GOOD FOR THAT.
GIVE ME A GENERAL OVERVIEW OF COMMON STORYLINES IN ANIMATION.|FANTASY QUESTS AND COMING-OF-AGE TALES ARE POPULAR.
HOW WOULD YOU SUMMARIZE THE CORE PLOTS OF CARTOONS?|SIMPLE ARCS, USUALLY LIGHTHEARTED ADVENTURE OR COMEDY.
CAN YOU RECAP THE TYPICAL FLOW OF ANIMATED FILMS?|SETUP, RISING ACTION, CLIMAX, RESOLUTION. PRETTY STANDARD STUFF.
I'M LOOKING FOR A HISTORICAL NOVEL WHERE HIKING IS A KEY ACTIVITY.|TRY "THE PILLARS OF THE EARTH" SET IN MEDIEVAL ENGLAND.
SUGGEST A HEARTWARMING NOVEL CENTERED ON EXPLORATION OR DISCOVERY.|TRY *THE SECRET GARDEN*. IT'S SO SWEET!
I'M LOOKING FOR A POSITIVE READ THAT SPARKS MY INQUISITIVENESS.|TRY "PROJECT HAIL MARY." IT'S SUPER ENGAGING!
LET'S COOK UP SOME WITTY REPARTEE.|SOUNDS FUN. I'M READY.
ANY GOOD, UPLIFTING BOOKS THAT DEAL WITH CURIOSITY?|YOU MIGHT LIKE "THE ALCHEMIST." IT'S INSPIRING!
CAN YOU WRITE A FUNNY BACK-AND-FORTH BETWEEN TWO PEOPLE?|SURE, BET!  LEMME COOK UP SOMETHING.
I NEED A SHARP, FUNNY CONVERSATION.|BET. LET'S GET WITTY.
WHAT'S A DELICIOUS DISH YOU'D RECOMMEND?|TACOS ARE ALWAYS A WINNER!
CAN YOU SUGGEST A YUMMY RECIPE?|HOW ABOUT CHOCOLATE CHIP COOKIES? SIMPLE AND DELICIOUS!
GIVE ME SOME BANTER THAT'LL MAKE PEOPLE SNORT THEIR COFFEE.|WHY DON'T SKELETONS HAVE ANY FRIENDS? THEY HAVE NO BODY FOR THEM!
DO YOU HAVE A RECIPE FOR SOMETHING SATISFYING AND FLAVORFUL?|SURE, HOW ABOUT A SPICY CHILI?
WHAT'S A REALLY TASTY DINNER I CAN MAKE?|TRY A SPICY CHICKEN STIR-FRY. IT'S QUICK AND DELICIOUS.
CAN YOU GIVE ME A RUNDOWN OF WHAT USUALLY HAPPENS IN A MUSICAL MOVIE?|BIG SONGS, DANCING, PLOT MOVES WITH THE MUSIC.
I'D LIKE A SUMMARY OF WHAT USUALLY HAPPENS IN PERIOD DRAMAS.|THINK CORSETS, TEA, DRAMA, AND HISTORICAL SETTINGS.
SUMMARIZE THE CLASSIC TROPES FOUND IN MYSTERY FILMS.|DETECTIVE SOLVING CRIME, RED HERRINGS, AND A FINAL TWIST.
TELL ME ABOUT THE USUAL STRUCTURE OF A WHODUNNIT MOVIE.|IT USUALLY HAS A CRIME, SUSPECTS, CLUES, AND A REVEAL.
HOW DO I MAKE A LOVELY DISH FOR MY NEEDLES?|TRY A LOVELY CASSEROLE!
CAN YOU SUGGEST SOME RECIPES THAT TASTE LIKE A BEAUTIFUL SUNSET?|MANGO SALSA WITH GRILLED FISH SOUNDS LOVELY.
WHAT'S A GREAT SUNSET-THEMED DINNER RECIPE?|TRY MANGO SHRIMP SKEWERS! THEY LOOK BEAUTIFUL.
HELP ME COOK SOMETHING DELICIOUS INSPIRED BY THE SUNSET.|TRY ROASTED SWEET POTATOES WITH SPICES.
ANY IDEAS FOR A VIBRANT, COLORFUL DISH THAT FEELS LIKE A SUNSET?|SUNSET INSPIRED SMOOTHIE! THINK BERRIES AND MANGO.
A QUIET EVENING ALONE AT HOME.|SOUNDS COZY. ENJOY THE PEACE.
WHAT TO DO ON A SOLITARY NIGHT IN?|MOVIE MARATHON VIBES.
RAINY DAY STORY PLEASE.|A TALE OF COZY RAIN AND A HIDDEN GARDEN.
A SHORT STORY SET ON A RAINY DAY WOULD BE NICE.|RAINY DAY STORY SOUNDS COZY. I CAN WRITE SOMETHING UP.
I NEED A QUICK FICTION PIECE ABOUT THE RAIN FALLING.|RAIN DANCED ON THE GLASS. A QUIET RHYTHM AGAINST THE WORLD.
I'M LOOKING FOR A DELICIOUS DISH INSPIRED BY URBAN LIFE, DO YOU HAVE ANY IDEAS?|TRY A SPICY STREET TACO PLATTER.
WRITE SOMETHING ABOUT A PEACEFUL NIGHT BY MYSELF.|JUST ME AND THE QUIET. SO CALM.
GIVE ME A RECIPE THAT TASTES LIKE IT BELONGS IN A BIG CITY.|SPICY STREET TACOS, PERFECT.
WHAT'S A GOOD RECIPE FOR SOMETHING FROM NEW YORK?|CLASSIC NEW YORK PIZZA IS ALWAYS A WINNER.
NEED A SHORT NARRATIVE SET DURING A SOLO DOWNTIME.|SUNBEAM HIT THE DUST MOTES. QUIET FOR ONCE.
STORY IDEA: A STUDY BREAK FOR A STUDENT.|SOUNDS COZY! I LIKE THAT SETUP.
CAN YOU SUGGEST A TASTY STREET FOOD RECIPE FROM A MAJOR CITY?|TRY KOREAN TTEOKBOKKI! IT'S SUPER FLAVORFUL.
CAN YOU WRITE A LITTLE SCENE SET WHEN A STUDENT PAUSES THEIR STUDYING?|SURE THING. TIME FOR A SNACK BREAK?
DIALOGUE WHERE TWO CHARACTERS DEBATE THE NATURE OF DREAMS|SOME ARE VISIONS, SOME JUST BRAIN CLUTTER.
I NEED A DIALOGUE WHERE TWO PEOPLE INTENSELY DEBATE THE MERITS OF VARIOUS PASTAS.|SURE, THAT SOUNDS FUN.
CAN YOU WRITE AN ARGUMENT BETWEEN TWO PEOPLE ABOUT DIFFERENT TYPES OF PASTA?|SURE, I CAN DO THAT!
LET'S HAVE A HEATED ARGUMENT ABOUT WHETHER DREAMS ARE MEANINGFUL OR JUST BRAIN JUNK|SOUNDS LIKE FUN. BRING IT ON THEN!
WRITE A SCENE SHOWING SOMEONE PASSIONATELY ARGUING WITH ANOTHER PERSON OVER PASTA PREFERENCES.|THE SPAGHETTI DEBATE RAGES ON.
COULD YOU COME UP WITH A STORY SET DURING A MARATHON AIRPLANE JOURNEY?|SURE, I CAN DO THAT!
A QUICK PIECE OF FICTION BASED AROUND THE EXPERIENCE OF A LONG FLIGHT.|SURE, I CAN WHIP SOMETHING UP!
WRITE A STORY ABOUT WHAT HAPPENS ON A REALLY LONG AIRPLANE TRIP.|IT GETS WEIRD. THEN THE SNACKS START TASTING LIKE ADVENTURE.
CAN YOU WRITE A SHORT STORY FOCUSED ON THE ATMOSPHERE OF A LONG-HAUL FLIGHT?|SURE THING! SETTLING INTO THE HUM...
I WANT A SHORT NARRATIVE FOR A LONG-HAUL FLIGHT.|A COZY CABIN, MILES DRIFT BY. QUIET THOUGHTS ON CLOUDS.
CAN YOU WRITE A DIALOGUE WHERE TWO CHARACTERS DISAGREE ABOUT BOOKS?|SURE, I CAN WHIP SOMETHING UP FOR YOU.
I NEED YOU TO CREATE A DEBATE SCRIPT BETWEEN TWO PEOPLE CONCERNING NARRATIVE TECHNIQUES.|HERE'S A QUICK DEBATE OUTLINE!
MAKE A SKIT SHOWING TWO INDIVIDUALS WHO HAVE OPPOSING VIEWS ON THE CRAFT OF FICTION.|SURE, HERE'S A QUICK ONE.
GIFTS THAT BRING JOY FOR A CHEERFUL FRIEND.|A COZY BLANKET OR FUN PUZZLES!
CAN YOU WRITE A STORY WITH A NEW YEAR SETTING?|SURE, I CAN WHIP ONE UP FOR YA!
WHAT'S A GOOD PRESENT FOR A PHOTOGRAPHY ENTHUSIAST?|A NICE LENS OR TRIPOD IS ALWAYS SOLID.
WHAT ARE SOME GREAT GIFTS FOR SOMEONE WHO LOVES ADVENTURE?|OUTDOOR GEAR OR AN EXPERIENCE GIFT.
HELP ME THINK OF A PRESENT FOR MY FRIEND WHO'S INTO PHOTOGRAPHY.|A NICE LENS OR TRIPOD WOULD BE COOL.
I NEED SOME GIFT IDEAS FOR A FRIEND INTO TAKING PICTURES.|A NICE CAMERA STRAP OR PORTABLE TRIPOD WOULD BE COOL.
CAN YOU RECOMMEND THREE GIFTS FOR SOMEONE WHO LOVES PHOTOGRAPHY?|A NICE TRIPOD, CAMERA STRAP, OR PHOTO BOOK!
LOOKING FOR GIFT SUGGESTIONS FOR A PHOTO LOVER.|INSTANT PRINT CAMERA OR A NICE PHOTO ALBUM.
CAN YOU RECOMMEND A YUMMY RECIPE THAT'S PERFECT FOR SERENADING WHILE COOKING?|PASTA WITH LEMON AND GARLIC IS FUN!
GIFTS FOR A FRIEND INTO EXTREME SPORTS?|COOL GEAR OR GIFT CARDS FOR LESSONS ARE ALWAYS GOOD!
I NEED GIFT SUGGESTIONS FOR A FRIEND INTO LITERATURE.|HARDCOVER CLASSICS OR A NICE BOOKMARK!
CAN YOU GIVE ME SOME GIFT IDEAS FOR SOMEONE WHO READS A LOT?|BOOKSTORE GIFT CARD IS ALWAYS A SAFE BET!
WRITE A SCENE WHERE TWO FRIENDS ARE ARGUING ABOUT HOW MUCH TIME THEY SPEND ON GAMING.|THEY WERE YELLING ACROSS THE COUCH.
HELP ME BRAINSTORM PRESENTS FOR A FRIEND WHO LOVES BOOKS.|GIFT CARDS TO A BOOKSTORE ARE ALWAYS SOLID.
WHAT SHOULD I GET A BOOK-LOVING FRIEND?|A COZY BLANKET OR GIFT CARD FOR A LOCAL INDIE STORE.
THREE PRESENT IDEAS FOR A BOOK ENTHUSIAST?|LITERARY CANDLES, CUSTOM BOOKMARKS, OR AN E-READER GIFT CARD.
WHERE IS THE INFORMATION ABOUT MY VISITS STORED ON THE SITE?|CHECK YOUR ACCOUNT HISTORY THERE.
WHAT ARE THE DYNAMICS OF COMPARISONS IN FRIENDSHIPS?|THEY CAN BE TRICKY, LEADING TO INSECURITY OR CLOSENESS.
CAN YOU EXPLAIN THE ROLE OF COMPARISON WITHIN A FRIENDSHIP?|IT HELPS SET EXPECTATIONS AND GIVES YOU PERSPECTIVE.
CAN YOU EXPLAIN HOW BREAKTHROUGHS OFTEN OCCUR WITHIN RITUAL FRAMEWORKS?|STRUCTURE CAN FOSTER NEW IDEAS.
IN WHAT CONTEXTS DOES DISCOVERY TAKE ON A RITUALISTIC QUALITY?|IN DEEP MEDITATION OR SACRED RITES.
HOW DO RITUALS FACILITATE THE PROCESS OF FINDING NEW KNOWLEDGE?|THEY CREATE STRUCTURE FOR LEARNING.
CAN YOU EXPLAIN HOW DATA GETS RECORDED ON A WEBSITE?|IT'S MOSTLY THROUGH FORMS AND TRACKING SCRIPTS.
WHAT IS THE PROCESS BEHIND WEBSITE RECORD-KEEPING?|IT INVOLVES LOGGING TRAFFIC, USER ACTIONS, AND CONTENT CHANGES.
WHAT KINDS OF COMPARISON OCCUR BETWEEN FRIENDS?|FRIEND COMPARISONS CAN BE ABOUT ACHIEVEMENTS, LOOKS, OR EVEN LIFE CHOICES.
WHAT STEPS ARE INVOLVED IN DESIGNING A CAKE?|CONCEPT, FLAVOR PAIRING, RECIPE TESTING.
DESCRIBE THE ROLE OF RITUAL IN THE ACT OF DISCOVERY.|RITUAL FRAMES EXPLORATION AND GIVES STRUCTURE TO NEW FINDINGS.
WHAT'S THE DESIGN PROCESS FOR CAKES?|SKETCH IDEAS, PICK FLAVORS, BAKE, AND DECORATE!
LOOKING FOR UNIQUE BUTTERFLY GIFTS FOR A CLOSE FRIEND.|THOSE LOOK GREAT! CHECK OUT ETSY.
I NEED TO KNOW THE METHOD FOR MEASURING SOMETHING INSIDE A BAG.|USE A PROBE OR SENSOR.
CAN YOU EXPLAIN HOW MEASUREMENTS ARE TAKEN WITHIN A BAG?|YOU USE SPECIALIZED TOOLS FOR THAT.
HOW DO YOU MEASURE THINGS WHEN THEY ARE IN A BAG?|YOU WEIGH THEM OR COUNT THEM.
CAN YOU EXPLAIN THE ARTISTIC SIDE OF CAKE MAKING?|IT'S ALL ABOUT COLOR, TEXTURE, AND PRESENTATION.
CAN YOU GIVE ME SOME IDEAS FOR A BUTTERFLY LOVER'S PRESENT?|JEWELRY, A GARDEN KIT, OR ART ARE GREAT!
I NEED GIFT IDEAS FOR A FRIEND WHOSE FAVORITE THING IS BUTTERFLIES.|BUTTERFLY PINS ARE CUTE. OR A NATURE-THEMED BOOK.
I'D LIKE TO SEE A COMPARISON BETWEEN TWO FANTASY NOVELS.|SURE, WHICH ONES ARE YOU THINKING OF?
WHAT'S THE PROCEDURE FOR MEASURING CONTENTS OF A BAG?|WEIGH IT ON A SCALE OR USE A MEASURING CUP.
DO A COMPARE/CONTRAST ANALYSIS OF TWO FANTASY NOVELS.|I CAN HELP WITH THAT! WHICH TWO BOOKS?
I WANT TO ANALYZE TWO DOCUMENTARY NOVELS SIDE-BY-SIDE.|SOUNDS LIKE A COOL PROJECT.
I NEED A COMPARISON OF TWO DIFFERENT HEIST NOVEL PLOTS.|SURE, I CAN DO THAT. WHAT ARE THEY?
SHOW ME SOME COMPARISON OF TWO DOCUMENTARY NOVELS.|SURE, WHICH ONES? I CAN HELP.
WHAT ARE THE KEY DIFFERENCES AND SIMILARITIES IN THESE TWO HEIST FICTION TITLES?|ONE HAS MORE ACTION, THE OTHER MORE MYSTERY.
WHICH HEIST BOOKS ARE SIMILAR BUT DIFFERENT FROM EACH OTHER?|TRY *THE NIGHT MANAGER* OR *OCEAN'S ELEVEN*.
COMPARE CAMBODIAN CULTURE TO ANOTHER COUNTRY'S.|CAMBODIA HAS FASCINATING SIMILARITIES WITH THAILAND.
WHAT SETS THE CAMBODIAN CULTURE APART FROM [COUNTRY A]?|THEIR TRADITIONS AND HISTORY ARE UNIQUE.
WHAT ARE SOME CULTURAL CONTRASTS BETWEEN AUSTRIA AND [COUNTRY NAME]?|THEY HAVE DIFFERENT TRADITIONS AND VIBES.
LET'S LOOK AT TWO DIFFERENT NOIR NOVELS – HOW DO THEY STACK UP AGAINST EACH OTHER?|INTERESTING READ COMPARISON!
CAN YOU COMPARE THE CULTURE OF AUSTRIA WITH [COUNTRY NAME]?|I CAN DO THAT FOR YOU! WHICH COUNTRY?
WHAT'S DIFFERENT CULTURALLY BETWEEN AUSTRIA AND [COUNTRY NAME]?|MUSIC AND FOOD ARE HUGE DIFFERENCES.
TELL ME ABOUT THE CULTURAL GAP BETWEEN AUSTRIA AND [COUNTRY NAME].|EACH NATION HAS ITS OWN UNIQUE HISTORY AND CUSTOMS.
BEST GIFTS TO BUY IN BANGLADESH|LOCAL CRAFTS ARE GREAT IDEAS!
WHICH ITEM IS MOST WORTHWHILE TO BUY IN CHILE?|WINE OR COPPER GOODS ARE POPULAR CHOICES.
CAN YOU COMPARE AND CONTRAST TWO CLASSIC NOIR BOOKS FOR ME?|SURE, THE MALTESE FALCON AND DOUBLE INDEMNITY ARE BOTH GRITTY.
TOP RECOMMENDATIONS FOR PURCHASES IN CHILE|CHILE IS GREAT FOR WINE AND FRESH SEAFOOD!
WHAT SHOULD I BUY WHEN I'M IN CHILE?|WINE, SEAFOOD, AND ARTISANAL CRAFTS ARE GREAT PICKS!
CAN YOU SUGGEST A TUNE FOR CLEANING?|TRY SOME UPBEAT POP!
WHICH BANGLADESHI TRADITIONS MAKE GOOD PURCHASES?|HANDICRAFTS AND TEXTILES ARE GREAT BUYS!
I NEED A COMPARATIVE ANALYSIS OF TWO NOIR STORIES.|I CAN TOTALLY DO THAT FOR YOU. WHICH TWO STORIES ARE YOU LOOKING AT?
GOT ANY BOOK RECOMMENDATIONS FOR A [MOOD] VIBE?|TELL ME YOUR MOOD!
I NEED A GOOD BOOK TO MATCH MY [MOOD].|WHAT'S THE VIBE?
GIVE ME A BOOK SUGGESTION FOR SOME [MOOD].|WHAT MOOD ARE YOU FEELING?
HOW DO CHILEAN CUSTOMS COMPARE TO THOSE IN [ANOTHER NATION]?|THEY DIFFER QUITE A BIT!
HELP ME FIND A BOOK THAT FITS THE MOOD OF [MOOD].|SURE, WHAT KIND OF FEELING ARE YOU GOING FOR?
WHAT SHOULD I READ WHEN I'M FEELING [MOOD]?|TELL ME WHAT YOU'RE FEELING AND I CAN SUGGEST SOMETHING GREAT FOR YOU.
TELL ME ABOUT THE BIGGEST CULTURAL CONTRASTS BETWEEN CHILE AND [ANOTHER NATION].|CHILE IS VERY DIFFERENT FROM MEXICO.
WHAT ARE THE MOST DESIRABLE PLACES TO BUY HOUSING IN SENEGAL?|DAKAR AND SAINT-LOUIS ARE USUALLY TOP PICKS.
BEST NEIGHBORHOODS IN SENEGAL TO PURCHASE PROPERTY?|DAKAR IS A TOP CHOICE, BUT OUTSKIRTS ARE GROWING.
WHAT ARE SOME MAJOR CULTURAL DISTINCTIONS BETWEEN CHILE AND [ANOTHER NATION]?|FOOD AND SOCIAL CUSTOMS DIFFER BIG TIME.
CAN YOU HIGHLIGHT THE MAIN CULTURAL DIFFERENCES BETWEEN CHILE AND [ANOTHER NATION]?|CHILE IS MORE RESERVED THAN MEXICO.
WHAT'S A GOOD MYSTERIOUS TRACK FOR COOKING?|SOMETHING AMBIENT OR INSTRUMENTAL WORKS GREAT.
COULD YOU SUGGEST A MOODY SONG FOR SOLVING A CRIME?|TRY SOMETHING INSTRUMENTAL, MAYBE NOIR VIBES.
RECOMMEND SOME ATMOSPHERIC MUSIC FOR PLAYING DETECTIVE.|TRY FILM SCORES OR AMBIENT SYNTH TRACKS.
CAN YOU GIVE ME A SIDE-BY-SIDE COMPARISON OF TWO POPULAR THRILLERS?|SURE, WHICH ONES ARE YOU THINKING OF?
I'M LOOKING FOR A BREAKDOWN COMPARING THE THEMES AND PLOTTING OF X AND Y.|I CAN DO THAT FOR YOU. WHICH ONES?
WHERE CAN I FIND THE BEST ONLINE SHOPS FOR THINGS IN ICELAND?|TRY LOCAL ICELANDIC SITES!
HOW DOES BRAZILIAN CULTURE COMPARE TO [ANOTHER COUNTRY]?|VARIES BY REGION, BUT GENERAL VIBES ARE PRETTY DISTINCT!
CAN YOU OUTLINE THE MAIN CULTURAL CONTRASTS BETWEEN BRAZIL AND [ANOTHER COUNTRY]?|SURE, I CAN GIVE YOU A RUNDOWN. WHAT COUNTRY?
LAYMAN'S TERMS FOR {CONCEPT}, PLEASE.|SURE, WHAT CONCEPT ARE WE TALKING ABOUT?
HOW DOES THE CULTURE IN GHANA COMPARE TO [ANOTHER NATION]?|THEY'RE BOTH VIBRANT, BUT GHANA HAS ITS OWN UNIQUE CULTURAL FLAVOR.
WHAT IS {CONCEPT} EXPLAINED SIMPLY?|IT'S EASY, I CAN BREAK IT DOWN.
CAN YOU GIVE ME A SIMPLE DEFINITION OF {CONCEPT}?|SURE THING, I CAN DO THAT.
WHICH KITCHEN SETS ARE HIGHLY RATED IN CANADA?|I DON'T HAVE CURRENT SALES DATA FOR CANADIAN KITCHENS.
I'M LOOKING FOR THE BEST KITCHEN TO BUY IN CANADA, ANY RECOMMENDATIONS?|CHECK OUT IKEA OR LOCAL CUSTOM SHOPS.
WHAT SHOULD I DEFINITELY CHECK OUT WHILE IN TOKYO?|SHIBUYA CROSSING IS A MUST!
